Руст,Рзаб,Pлин,Руст.1,Рзаб.1,Рлин,Тзаб,Tлин,Дебит газа,Дебит ст. конд.,Дебит воды,Дебит смеси,Дебит гааз,Дебит кон нестабильный,Pсб,Pсб.1,G_total,КГФ
2496,3701,1018,2490,3596,1018,1032,325,2147,836,4,23125,161037,1313,936,9238,278.0,31191.0
2335,3646,1013,2310,3381,1024,1030,386,29059,1047,14,3090,231023,1585,929,9169,37.0,2886.0
2134,3571,1016,2110,3148,1006,1026,434,36804,1143,19,38811,303949,1723,914,902,452.0,24879.0
1916,3474,984,1870,2915,990,1020,461,43466,1213,33,45521,382408,1815,892,8803,522.0,22356.0
1719,3377,992,1690,2703,995,1044,499,48328,1298,46,50459,42991,1906,897,8853,577.0,21515.0
1995,2864,10636,1995,2866,10619,10264,3898,2517,768,6,2689,19210,1190,907,8951,308.0,24113.0
2520,35433,10293,2520,3542,10157,1053,330,23486,5607,0,26128,18074,904,1009,9958,,1880.0
2500,3502,10319,2500,3491,10332,1052,3906,32622,7389,0,36208,25324,1180,1001,9879,,1780.0
2400,3440,10567,2400,3441,10559,1052,449,42972,9213,101,4762,33923,1460,1020,10067,,1690.0
2280,3367,1081,2280,3430,10814,1051,4984,53228,10981,138,58914,42288,1755,1038,10244,,1620.0
25961,36586,10347,2590,3659,10142,1059,2809,24364,7073,114,25764,17138,1173,932,9198,,2300.0
23942,34227,1032,2390,3423,10418,1057,351,31385,7958,166,32784,23535,1297,920,908,,2010.0
21343,31227,10319,2120,3123,1030,1052,4111,3950,855,259,41002,30855,1397,937,9247,,1720.0
19424,29174,10323,1940,2917,10392,1045,4414,43504,8621,316,44965,35344,1377,896,8843,,1570.0
1660,26303,10738,1660,2630,10754,1034,4975,49459,8807,351,50905,40716,1422,903,8912,,1410.0
2060,2920,10551,2060,2920,10503,1046,3779,2734,599,8,28554,20850,940,921,909,,1720.0
27269,3887,8965,2680,3886,8675,10532,2203,37537,13898,86,3984,31270,2383,997,984,471.0,2955.0
20215,3088,9788,1970,3087,9246,10522,3541,47378,15179,7,49681,38957,2450,992,979,573.0,25568.0
16585,2705,7995,1620,2704,8115,10512,3383,48809,14315,43,50973,51290,2212,989,9761,578.0,23396.0
13887,2393,8073,1360,2393,7954,10502,3726,49251,13768,41,51333,52356,2097,1008,9948,576.0,22311.0
19141,2968,7657,1920,2968,7682,10238,248,35502,10927,33,37154,37055,1640,980,9672,425.0,24568.0
29768,4245,10013,2980,4245,10225,10537,4488,49716,17976,329,52691,42045,2740,882,8705,642.0,28752.0
29857,4034,11138,2980,4029,11161,10442,4244,36622,11828,147,38818,27246,1843,888,8764,459.0,25484.0
